"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country ISO 3 Code","BEN",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Name","Benin",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country SDMX Code","BJ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country SDMX Name","Benin",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Short Name","Benin               ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Benin","638","","","Country Source Code","638",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Code","616",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=BWA target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Full Name","Botswana",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country ISO 2 Code","BW",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country ISO 3 Code","BWA",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Name","Botswana",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country SDMX Code","BW",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country SDMX Name","Botswana",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Short Name","Botswana            ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Botswana","616","","","Country Source Code","616",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Code","748",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=BFA target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Full Name","Burkina Faso",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country ISO 2 Code","BF",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country ISO 3 Code","BFA",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Name","Burkina Faso",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country SDMX Code","BF",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country SDMX Name","Burkina Faso",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Short Name","Burkina Faso        ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burkina Faso","748","","","Country Source Code","748",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Code","618",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Data Quality Assurance Framework","",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Full Name","Burundi",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country ISO 2 Code","BI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country ISO 3 Code","BDI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Name","Burundi",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country SDMX Code","BI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country SDMX Name","Burundi",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Short Name","Burundi             ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Burundi","618","","","Country Source Code","618",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Code","624",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=CPV target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Full Name","Cabo Verde",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country ISO 2 Code","CV",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country ISO 3 Code","CPV",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Name","Cabo Verde",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country SDMX Code","CV",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country SDMX Name","Cape Verde",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Short Name","Cabo Verde",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cabo Verde","624","","","Country Source Code","624",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Code","622",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=CMR target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Full Name","Cameroon",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country ISO 2 Code","CM",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country ISO 3 Code","CMR",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Name","Cameroon",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country SDMX Code","CM",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country SDMX Name","Cameroon",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Short Name","Cameroon",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cameroon","622","","","Country Source Code","622",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Code","626",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=CAF target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Full Name","Central African Republic",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country ISO 2 Code","CF",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country ISO 3 Code","CAF",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Name","Central African Republic",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country SDMX Code","CF",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country SDMX Name","Central African Republic",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Short Name","Central African Rep.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Central African Republic","626","","","Country Source Code","626",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Code","628",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=TCD target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Full Name","Chad",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country ISO 2 Code","TD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country ISO 3 Code","TCD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Name","Chad",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country SDMX Code","TD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country SDMX Name","Chad",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Short Name","Chad                ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Chad","628","","","Country Source Code","628",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Code","632",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Data Quality Assurance Framework","",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Full Name","Federal Islamic Republic of the Comoros",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country ISO 2 Code","KM",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country ISO 3 Code","COM",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Name","Comoros",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country SDMX Code","KM",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country SDMX Name","Comoros",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Short Name","Comoros             ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Comoros","632","","","Country Source Code","632",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Code","636",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=COD target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Full Name","Democratic Republic of the Congo",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country ISO 2 Code","CD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country ISO 3 Code","COD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Name","Congo, Democratic Republic of",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country SDMX Code","CD",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country SDMX Name","Congo, the Democratic Republic of the",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Short Name","Congo, Dem. Rep. of",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Democratic Republic of","636","","","Country Source Code","636",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Code","634",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=COG target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Full Name","Republic of Congo",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country ISO 2 Code","CG",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country ISO 3 Code","COG",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Name","Congo, Republic of",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country SDMX Code","CG",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country SDMX Name","Congo",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Short Name","Congo, Republic of",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Congo, Republic of","634","","","Country Source Code","634",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Code","662",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=CIV target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Full Name","Cote d'Ivoire",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country ISO 2 Code","CI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country ISO 3 Code","CIV",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Name","Cote d'Ivoire",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country SDMX Code","CI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country SDMX Name","Cote d`Ivoire",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Short Name","Côte d'Ivoire       ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Cote d'Ivoire","662","","","Country Source Code","662",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Code","642",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Data Quality Assurance Framework","",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Full Name","Equatorial Guinea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country ISO 2 Code","GQ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country ISO 3 Code","GNQ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Name","Equatorial Guinea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country SDMX Code","GQ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country SDMX Name","Equatorial Guinea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Short Name","Equatorial Guinea   ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Equatorial Guinea","642","","","Country Source Code","642",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Code","643",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Data Quality Assurance Framework","",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Full Name","Eritrea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country ISO 2 Code","ER",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country ISO 3 Code","ERI",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Name","Eritrea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country SDMX Code","ER",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country SDMX Name","Eritrea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Short Name","Eritrea",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eritrea","643","","","Country Source Code","643",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Code","734",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=SWZ target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Full Name","Kingdom of Eswatini",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country ISO 2 Code","SZ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country ISO 3 Code","SWZ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Name","Eswatini, Kingdom of",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country SDMX Code","SZ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country SDMX Name","Eswatini",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Short Name","Eswatini",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Eswatini, Kingdom of","734","","","Country Source Code","734",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Code","644",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Data Quality Assurance Framework","For additional country metadata please refer to the <a href=http://dsbb.imf.org/Applications/web/gdds/gddscountrycategorylist/?strcode=ETH target='_blank'>country's General Data Dissemination System (GDDS) page</a>. GDDS provides recommendations on good practice for the production and dissemination of statistics.",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Full Name","Ethiopia",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country ISO 2 Code","ET",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country ISO 3 Code","ETH",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Name","Ethiopia",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country SDMX Code","ET",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country SDMX Name","Ethiopia",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Short Name","Ethiopia            ",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Ethiopia","644","","","Country Source Code","644",""
"Sub-Saharan Africa Regional Economic Outlook (AFRREO)","AFRREO","Gabon","646","","","Country Code","646",""
